
Session altered.

=== CODE GROUPS ===
GROUP_CODE|GROUP_NAME|DESCRIPTION|USE_YN
BILLING_STATUS|청구상태|청구의 수납 상태|Y
CONTRACT_STATUS|계약상태|계약의 진행 상태|Y
EQUIPMENT_TYPE|장비유형|렌탈 장비의 분류|Y
NOTIFICATION_TYPE|알림유형|Kafka Consumer 알림 유형|Y
PAYMENT_METHOD|수납방법|수납 결제 수단|Y
VISIT_TYPE|방문유형|기사 방문의 목적|Y

=== CODES ===
GROUP_CODE|CODE_VALUE|CODE_NAME|SORT_ORDER|USE_YN
BILLING_STATUS|UNPAID|미납|10|Y
BILLING_STATUS|OVERDUE|연체|20|Y
BILLING_STATUS|PAID|수납완료|30|Y
BILLING_STATUS|CANCELLED|취소|40|Y
CONTRACT_STATUS|ACTIVE|정상|10|Y
CONTRACT_STATUS|SUSPENDED|일시정지|20|Y
CONTRACT_STATUS|TERMINATED|해지|30|Y
EQUIPMENT_TYPE|AC|가전|10|Y
EQUIPMENT_TYPE|FURNITURE|가구|20|Y
EQUIPMENT_TYPE|IT|IT장비|30|Y
EQUIPMENT_TYPE|MEDICAL|의료장비|40|Y
NOTIFICATION_TYPE|BILLING_CREATED|청구 생성|10|Y
NOTIFICATION_TYPE|PAYMENT_COMPLETED|수납 완료|20|Y
NOTIFICATION_TYPE|PAYMENT_OVERDUE|연체 발생|30|Y
NOTIFICATION_TYPE|VISIT_ASSIGNED|방문 배정|40|Y
PAYMENT_METHOD|CARD|카드|10|Y
PAYMENT_METHOD|BANK|계좌이체|20|Y
PAYMENT_METHOD|CASH|현금|30|Y
PAYMENT_METHOD|TOSS|토스페이먼츠|40|Y
VISIT_TYPE|INSTALL|설치|10|Y
VISIT_TYPE|CHECK|점검|20|Y
VISIT_TYPE|COLLECT|수거|30|Y

=== ROLES ===
ROLE_ID|ROLE_CODE|ROLE_NAME|USE_YN
1|SUPER_ADMIN|최고관리자|Y
51|ADMIN|관리자|Y
101|VIEWER|조회전용|Y

=== AUTHS ===
AUTH_CODE|AUTH_NAME|MENU_ID|AUTH_TYPE|SORT_ORDER|USE_YN
CONTRACT_CREATE|계약 등록|701|CREATE|20|Y
CONTRACT_UPDATE|계약 수정|701|UPDATE|30|Y
CONTRACT_DELETE|계약 삭제|701|DELETE|40|Y
CONTRACT_SUSPEND|계약 일시정지|701|EXECUTE|50|Y
CONTRACT_TERMINATE|계약 해지|701|EXECUTE|60|Y
CONTRACT_RESUME|계약 재개|701|EXECUTE|70|Y
ENGINEER_VIEW|기사 조회|751|VIEW|10|Y
ENGINEER_CREATE|기사 등록|751|CREATE|20|Y
ENGINEER_UPDATE|기사 수정|751|UPDATE|30|Y
ENGINEER_DELETE|기사 비활성화|751|DELETE|40|Y
VISIT_VIEW|방문이력 조회|801|VIEW|10|Y
VISIT_ASSIGN|방문 배정|801|EXECUTE|20|Y
VISIT_COMPLETE|방문 완료|801|EXECUTE|30|Y
VISIT_CANCEL|방문 취소|801|EXECUTE|40|Y
BILLING_VIEW|청구 조회|851|VIEW|10|Y
BILLING_BATCH_RUN|월 청구 배치 실행|851|EXECUTE|20|Y
PAYMENT_VIEW|수납 조회|901|VIEW|10|Y
PAYMENT_CREATE|수납 처리|901|CREATE|20|Y
OVERDUE_VIEW|연체 조회|951|VIEW|10|Y
OVERDUE_RELEASE|연체 수동해제|951|EXECUTE|20|Y
BATCH_LOG_VIEW|배치 실행 이력 조회|1001|VIEW|10|Y
OVERDUE_REPORT_VIEW|미납 현황 조회|1051|VIEW|10|Y
OVERDUE_REPORT_EXPORT|미납 현황 엑셀|1051|EXECUTE|20|Y
DASHBOARD_VIEW|대시보드 조회|1101|VIEW|10|Y
NOTIFICATION_VIEW|알림 조회|1151|VIEW|10|Y

=== MENUS ===
MENU_ID|PARENT|DEPTH|MENU_NAME|MENU_TYPE|MENU_URL
1||1|시스템관리|GROUP|
51||1|회원관리|GROUP|
101||1|장비/상품|GROUP|
151||1|계약관리|GROUP|
201||1|기사/방문|GROUP|
251||1|청구/수납|GROUP|
301||1|통계/리포트|GROUP|
1101||1|대시보드|LEAF|/admin/dashboard
1151||1|알림|LEAF|/admin/notifications
351|1|2|공통코드|LEAF|/admin/codes
551|51|2|고객|LEAF|/admin/customers
601|101|2|장비|LEAF|/admin/equipments
701|151|2|계약|LEAF|/admin/contracts
751|201|2|기사|LEAF|/admin/engineers
851|251|2|청구|LEAF|/admin/billings
1051|301|2|미납현황|LEAF|/admin/reports/overdue
401|1|2|메뉴관리|LEAF|/admin/menus
651|101|2|상품|LEAF|/admin/products
801|201|2|방문이력|LEAF|/admin/visits
901|251|2|수납|LEAF|/admin/payments
451|1|2|권한관리|LEAF|/admin/roles
951|251|2|연체|LEAF|/admin/overdues
501|1|2|관리자관리|LEAF|/admin/users
1001|251|2|배치이력|LEAF|/admin/batches
